title,size(㎡),year,location,total price(万),price per square(元/㎡),block
观音寺小区,71.9,1995,观音寺-观音寺街20号,238,33101,观音寺
观音寺南里,90.14,2001,观音寺-(大兴)观音寺南里,325,36055,观音寺
观音寺小区,68.79,1994,观音寺-观音寺街20号,220,31981,观音寺
辛店小区,75.78,1998,"观音寺-大兴黄村海子角南,黄徐路东侧",230,30351,观音寺
观音寺小区,101.76,1998,观音寺-观音寺街20号,320,31446,观音寺
观音寺小区,70.65,1996,观音寺-观音寺街20号,260,36801,观音寺
绿色庄园,90.81,2004,观音寺-(大兴)海子角东里,338,37220,观音寺
观音寺小区,70.65,1998,观音寺-观音寺街20号,208,29440,观音寺
海子角南里,73.3,2001,观音寺-(大兴)海子角南里,233,31787,观音寺
观音寺南里,90.47,2003,观音寺-(大兴)观音寺南里,325,35923,观音寺
观音寺新区,124.65,2002,观音寺-(大兴)观音寺北里,458,36742,观音寺
海悦公馆,40.21,2014,观音寺-京开高速与黄马路交叉口东南角,183,45511,观音寺
观音寺小区,68.79,1995,观音寺-观音寺街20号,215,31254,观音寺
观音寺南里,87.88,2002,观音寺-(大兴)观音寺南里,316,35958,观音寺
观音寺新区,141.73,1998,观音寺-(大兴)观音寺北里,430,30339,观音寺
海子角小区,93.88,1998,观音寺-大兴环岛向东100米友爱医院旁边,285,30357,观音寺
双河南里,67.5,1994,观音寺-(大兴)双河南里,218,32296,观音寺
双河南里,85.09,1998,观音寺-(大兴)双河南里,275,32318,观音寺
观音寺南里,73.45,1995,观音寺-(大兴)观音寺南里,228,31041,观音寺
